# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
AJA,LFKJ,medium_airport,Ajaccio Napoléon Bonaparte airport,41.923599,8.802920,FR,FR-COR,Ajaccio,yes
AJF,OESK,large_airport,Al-Jawf International Airport,29.783301,40.100905,SA,SA-12,Al-Jawf,yes
AJI,LTCO,medium_airport,Ağrı Airport,39.655642,43.025742,TR,TR-04,Ağrı,yes
AJJ,GQNJ,small_airport,Akjoujt Airport,19.727998,-14.377214,MR,MR-12,Akjoujt,no
AJK,OIHR,small_airport,Arak Airport,34.138100,49.847301,IR,IR-00,Araak,no
AJL,VELP,medium_airport,Lengpui Airport,23.840599,92.619698,IN,IN-MZ,Aizawl (Lengpui),yes
AJN,FMCV,medium_airport,Ouani Airport,-12.131047,44.430044,KM,KM-A,Ouani,yes
AJR,ESNX,medium_airport,Arvidsjaur Airport,65.590302,19.281900,SE,SE-BD,Arvidsjaur,yes
AJS,MX-AJS,small_airport,Punta Abreojos Airport,26.727200,-113.558998,MX,MX-BCS,Mulegé,no
AJU,SBAR,medium_airport,Aracaju - Santa Maria Airport,-10.983940,-37.072873,BR,BR-SE,Aracaju,yes
AJY,DRZA,medium_airport,Mano Dayak International Airport,16.966000,8.000110,NE,NE-1,Agadez,no
AKA,ZLAK,small_airport,Ankang Fuqiang Airport,32.756960,108.873380,CN,CN-61,Ankang (Hanbin),yes
AKB,PAAK,small_airport,Atka Airport,52.220299,-174.205994,US,US-AK,Atka,yes
AKC,KAKR,medium_airport,Akron Fulton International Airport,41.037355,-81.467840,US,US-OH,Akron,no
AKD,VAAK,medium_airport,Akola Airport,20.698931,77.056883,IN,IN-MM,Akola,no
AKE,FOGA,small_airport,Akieni Airport,-1.139670,13.903600,GA,GA-2,Akieni,no
AKF,HLKF,medium_airport,Kufra Airport,24.178699,23.313999,LY,LY-KF,Kufra,yes
AKG,AYGU,small_airport,Anguganak Airport,-3.560504,142.217307,PG,PG-SAN,Anguganak,no
AKH,OEPS,medium_airport,Prince Sultan Air Base,24.062700,47.580502,SA,SA-01,Al Kharj,no
AKI,PFAK,small_airport,Akiak Airport,60.902646,-161.231060,US,US-AK,Akiak,yes
AKJ,RJEC,medium_airport,Asahikawa Airport,43.670799,142.447006,JP,JP-01,Higashikagura,yes
AKK,PAKH,small_airport,Akhiok Airport,56.938702,-154.182999,US,US-AK,Akhiok,yes
AKL,NZAA,large_airport,Auckland International Airport,-37.011990,174.786331,NZ,NZ-AUK,Auckland,yes
AKM,AKM,small_airport,Zakuoma Airport,10.890278,19.817222,TD,TD-SA,ZaKouma,no
AKN,PAKN,medium_airport,King Salmon Airport,58.677845,-156.651965,US,US-AK,King Salmon,yes
AKO,KAKO,small_airport,Colorado Plains Regional Airport,40.175598,-103.222000,US,US-CO,Akron,no
AKP,PAKP,medium_airport,Anaktuvuk Pass Airport,68.133598,-151.742996,US,US-AK,Anaktuvuk Pass,yes
AKQ,ID-AKQ,small_airport,Astra Ksetra Airport,-4.611588,105.231968,ID,ID-LA,Menggala,no
AKR,DNAK,medium_airport,Akure Airport,7.246740,5.301010,NG,NG-ON,Akure,yes
AKS,AGGA,small_airport,Gwaunaru'u Airport,-8.702570,160.682007,SB,SB-ML,Auki,yes
AKT,LCRA,medium_airport,RAF Akrotiri,34.590401,32.987900,CY,CY-XX,Akrotiri,no
AKU,ZWAK,medium_airport,Aksu Hongqipo Airport,41.262501,80.291702,CN,CN-65,Aksu (Onsu),yes
AKV,CYKO,small_airport,Akulivik Airport,60.818600,-78.148598,CA,CA-QC,Akulivik,yes
AKW,OIAG,medium_airport,Aghajari Airport,30.744400,49.677200,IR,IR-06,Omidiyeh,no
AKX,UATT,large_airport,Aktobe International Airport,50.248116,57.204144,KZ,KZ-AKT,Aktobe,yes
AKY,VYSW,medium_airport,Sittwe Airport,20.133165,92.870693,MM,MM-16,Sittwe,yes
ALA,UAAA,large_airport,Almaty International Airport,43.354267,77.042828,KZ,KZ-ALA,Almaty,yes
ALB,KALB,large_airport,Albany International Airport,42.748299,-73.801697,US,US-NY,Albany,yes
ALC,LEAL,large_airport,Alicante-Elche Miguel Hernández Airport,38.282200,-0.558156,ES,ES-VC,Alicante,yes
ALD,SPAR,small_airport,Alerta Airport,-11.650180,-69.229614,PE,PE-MDD,Fortaleza,no
ALE,KE38,small_airport,Alpine Casparis Municipal Airport,30.384199,-103.683998,US,US-TX,Alpine,no
ALF,ENAT,medium_airport,Alta Airport,69.976097,23.371700,NO,NO-56,Alta,yes
ALG,DAAG,large_airport,Houari Boumediene Airport,36.693886,3.214531,DZ,DZ-16,Algiers,yes
ALH,YABA,medium_airport,Albany Airport,-34.943333,117.808889,AU,AU-WA,Albany,yes
